width,height,success or failure,time
800,67.50001,0,0.7663993
640,49.50001,0,0.2791043
480,34.50001,1,0.96138
320,67.50001,1,0.1423987
320,67.50001,1,0.1669879
800,67.50001,0,0.4440706
480,34.50001,0,0.3346946
320,67.50001,1,0.263988
640,49.50001,1,0.3857285
800,67.50001,1,0.4597901
640,34.50001,1,0.9661582
480,34.50001,1,0.654573
640,34.50001,1,1.169759
320,22.5,1,0.8769343
800,49.50001,1,1.100685
480,49.50001,1,0.7753068
800,22.5,1,3.119333
320,49.50001,1,0.561208
800,49.50001,1,1.542366
640,34.50001,1,1.766793
640,67.50001,1,0.7529603
480,34.50001,1,1.406559
800,67.50001,0,2.78407
640,34.50001,1,1.502198
320,67.50001,1,0.3767073
320,67.50001,1,0.2918657
800,67.50001,1,0.8503296
320,22.5,0,0.0132872
480,49.50001,1,0.8352053
640,22.5,1,2.530868
480,22.5,1,1.795638
480,49.50001,1,0.867631
480,49.50001,1,1.002032
800,34.50001,1,2.102196
480,49.50001,1,0.8501321
800,34.50001,1,2.386595
480,67.50001,1,0.7241029
320,22.5,1,0.9932593
800,49.50001,1,1.334659
640,49.50001,1,1.058832
320,22.5,0,0.0136511
640,34.50001,1,1.447972
320,34.50001,1,0.6967239
640,67.50001,1,0.7661681
800,67.50001,1,1.225005
320,22.5,1,0.9915065
480,22.5,1,1.586883
640,22.5,1,2.325505
320,67.50001,1,0.3205887
640,49.50001,0,0.5860677
480,34.50001,1,1.211287
800,49.50001,1,1.085716
480,67.50001,1,0.4383172
480,49.50001,1,0.5843405
320,22.5,1,0.890798
800,34.50001,1,1.224198
320,67.50001,1,0.3384199
640,49.50001,0,0.0278865
640,49.50001,1,0.9345652
800,67.50001,1,0.9331615
640,22.5,1,1.74034
320,22.5,1,0.6256566
800,49.50001,1,0.8462278
480,34.50001,0,0.0600266
800,34.50001,1,1.657462
640,34.50001,1,1.419583
480,49.50001,1,0.5473882
800,67.50001,1,0.8368236
640,34.50001,1,0.9615844
800,22.5,1,1.882972
320,67.50001,1,0.3204482
320,67.50001,1,0.2917728
320,22.5,0,0.1520127
640,34.50001,1,1.281903
480,49.50001,1,0.6403751
480,67.50001,1,0.5140187
800,22.5,1,2.040642
320,22.5,1,0.7652298
640,49.50001,0,0.0305939
480,22.5,1,1.433025
640,67.50001,1,0.8632954
480,49.50001,1,0.721503
320,22.5,1,0.7671903
480,34.50001,1,1.109974
800,49.50001,1,1.658132
800,22.5,1,2.10201
320,34.50001,1,0.5764058
480,67.50001,1,0.5155509
640,49.50001,0,0.0596361
480,49.50001,1,0.8918259
800,67.50001,1,1.322652
800,67.50001,0,0.0139868
320,22.5,1,0.7518162
320,49.50001,1,0.2800052
640,22.5,1,1.713197
640,67.50001,1,1.55954
320,22.5,0,0.4309818
480,22.5,1,1.003434
480,22.5,1,1.267813
320,49.50001,1,0.5746027
480,34.50001,0,0.0424898
480,22.5,1,1.74031
640,49.50001,1,1.601386
640,67.50001,1,1.072273
320,49.50001,1,0.5019115
800,34.50001,1,2.10213
800,67.50001,0,0.0143492
800,67.50001,0,0.0135758
640,49.50001,0,1.964521
320,67.50001,1,0.4464773
640,34.50001,1,1.655789
800,67.50001,1,1.89151
width,height,success or failure,time
800,34.50001,1,0
800,49.50001,1,0
800,34.50001,1,0
480,67.50001,1,0
320,34.50001,1,0
480,49.50001,1,0
320,67.50001,1,0
480,22.5,1,0
640,67.50001,1,0
640,22.5,1,0
640,49.50001,1,0
480,67.50001,1,0
640,22.5,1,0
800,49.50001,1,0
320,22.5,1,0
320,34.50001,1,0
320,22.5,1,0
640,49.50001,1,0
800,22.5,1,0
640,22.5,1,0
800,67.50001,1,0
480,49.50001,1,0
480,34.50001,1,0
320,22.5,1,0
800,67.50001,1,0
640,49.50001,1,0
480,67.50001,1,0
320,67.50001,1,0
480,49.50001,1,0
640,34.50001,1,0
800,34.50001,1,0
320,34.50001,1,0
640,49.50001,1,0
480,22.5,1,0
640,34.50001,1,0
320,49.50001,1,0
480,22.5,1,0
640,67.50001,1,0
640,34.50001,1,0
480,67.50001,1,0
480,49.50001,1,0
800,67.50001,1,0
320,34.50001,1,0
320,22.5,1,0
800,49.50001,1,0
800,67.50001,1,0
800,34.50001,1,0
320,22.5,1,0
640,67.50001,1,0
480,34.50001,1,0
320,22.5,1,0
640,49.50001,1,0
800,49.50001,1,0
