width,height,success or failure,time
320,45,1,0.236232
480,23,1,0.5852947
640,33,0,0.0144692
800,33,1,0.6962308
640,33,0,0.0306429
480,33,1,0.6129731
320,33,1,0.4017439
800,45,1,0.5718716
320,15,1,0.5008443
480,15,1,0.5439774
800,45,0,0.6407263
320,33,1,0.265188
800,15,1,0.7534086
640,45,1,0.4181145
640,45,1,0.4457455
480,15,1,0.4876897
640,33,0,0.4753739
480,33,1,0.446828
320,23,1,0.3900378
480,33,1,0.4040443
800,45,0,0.4598788
800,45,0,1.950065
320,23,1,0.4177979
480,33,1,0.3038618
320,23,1,0.3346724
800,45,1,0.4461268
640,45,1,0.3613541
480,15,1,0.3623327
640,45,1,0.2778473
320,15,1,0.2364585
800,45,0,0.1811766
640,15,1,1.433857
480,33,1,0.3072505
640,45,1,0.3198935
640,15,1,0.3895805
800,45,1,0.4047718
800,45,1,0.3203698
800,33,1,0.4023952
800,33,1,0.3480314
640,45,1,0.3066969
480,23,1,0.3488566
320,23,1,0.2760294
320,15,1,0.2921837
320,23,1,0.2655898
480,23,1,0.3189155
320,33,1,0.2095649
480,15,1,0.3209473
640,33,0,0.3754306
480,45,1,0.2373874
480,33,1,0.2507422
320,23,1,0.2375504
800,15,1,0.6553462
320,45,1,0.1773667
320,23,1,0.278829
800,45,0,0.2368548
800,33,1,0.653119
320,15,1,0.265025
800,45,0,0.0808093
480,15,1,1.615112
640,33,1,0.4593224
640,23,1,0.7000677
640,23,1,0.6395713
480,23,0,0.2645872
640,33,1,0.4178473
640,15,1,0.5015209
480,23,1,0.3338566
480,15,1,0.376632
800,45,0,0.7660046
640,33,1,0.3762361
480,33,1,0.2468718
320,33,1,0.2074909
640,33,0,0.1671607
800,33,1,0.3465086
640,15,1,0.3613242
320,15,0,0.1685657
800,45,1,0.3211877
480,45,1,0.2511686
320,45,1,0.1671341
800,23,1,0.5018414
320,45,1,0.1810312
320,45,1,0.1675851
320,33,1,0.1547871
800,23,1,0.6826233
640,15,1,0.6838993
800,15,1,0.7804397
480,45,1,0.2366389
640,45,1,0.2919645
640,33,1,0.3333038
800,33,1,0.3626672
480,23,1,0.2929429
320,23,1,0.2370796
800,45,0,0.0412332
480,23,1,1.308983
480,33,1,0.2495678
640,45,1,0.2929134
320,15,1,0.2358268
640,33,0,0.0804574
480,23,1,0.640898
320,45,1,0.2225828
800,45,1,0.3895826
320,15,0,0.2232471
640,45,1,0.3070348
640,15,1,0.3764929
320,33,1,0.1819098
800,45,0,0.2784577
640,33,1,0.3205727
320,33,1,0.1954369
480,23,0,0.2660536
800,23,1,0.4048667
800,45,0,0.3207088
480,33,1,0.2231254
480,23,0,0.1816138
width,height,success or failure,time
640,15,1,0.9884011
320,45,1,0.2223334
320,23,1,0.3203378
480,33,1,0.1940209
480,15,1,0.2514878
480,23,0,0.0414711
800,15,1,2.646227
320,15,0,0.0133424
800,45,1,0.5988727
640,23,1,0.7810999
480,15,1,0.9197195
800,23,1,0.8626557
320,33,1,0.2228614
640,33,1,0.4590625
640,45,1,0.3599696
800,23,1,0.5292713
320,15,1,0.3204884
640,45,1,0.3489827
800,33,1,0.4606498
320,23,1,0.2920576
320,15,0,0.3202496
800,33,1,0.4312506
640,45,1,0.3619457
480,23,1,0.4737258
800,45,0,0.09801669
640,23,1,0.7796453
480,23,1,0.8199639
640,33,0,0.0818929
480,33,1,1.64438
320,15,1,0.5574835
800,45,0,0.4454132
480,45,1,0.2238428
640,23,1,0.457674
320,33,1,0.2097351
800,33,1,0.6098681
320,23,1,0.2927858
480,45,1,0.3199543
640,33,0,0.4591867
480,45,1,0.1811059
800,45,0,0.3074043
640,45,1,0.4045934
800,45,0,0.0422192
320,33,1,0.2523788
480,33,1,0.3622338
320,15,1,0.4602475
800,45,0,0.2913218
480,15,1,1.308702
640,45,1,0.7934135
800,33,1,1.352242
640,23,1,1.505412
320,45,1,0.3204269
800,45,0,0.278723
480,15,1,1.517504
640,23,1,1.68452
480,33,1,0.849771
640,33,0,1.768601
480,33,1,0.6678742
320,45,1,0.4465367
640,23,1,1.546522
320,45,1,0.3345755
320,33,1,0.5148925
480,23,1,1.072099
800,45,1,0.8767923
800,45,0,1.601266
640,15,1,1.281519
480,33,1,0.5021324
800,45,0,0.0426214
640,33,1,1.699752
640,45,1,0.5019234
480,23,1,0.4599508
320,23,1,0.2788247
320,15,0,0.0135366
320,15,1,0.3206804
800,45,0,0.0285119
480,15,1,0.5844695
320,45,1,0.2229489
800,45,0,0.0417566
640,45,1,0.3758225
800,15,1,0.5010778
480,33,1,0.2651285
640,33,1,0.3613959
480,45,1,0.2648805
800,45,0,0.5989082
800,45,0,0.055487
480,23,0,1.546585
320,45,1,0.1663031
320,15,1,0.3346653
800,45,0,0.0287915
800,45,1,1.267729
640,23,1,0.5434363
320,23,1,0.236581
480,45,1,0.3483995
480,33,1,0.445347
320,33,1,0.2782601
640,15,1,0.5990911
640,15,1,0.5299398
480,33,1,0.2781803
480,23,0,0.4050377
800,45,1,0.4318161
640,33,0,0.3069658
800,33,1,0.5992852
640,45,1,0.2226882
640,33,1,0.3202765
320,15,0,0.1666796
640,23,1,0.3622798
480,23,0,0.1814301
320,15,0,0.2785366
480,33,1,0.3615482
800,23,1,0.5432733
800,45,1,0.6113512
320,23,1,0.4321795
320,45,1,0.2790689
width,height,success or failure,time
480,33,1,0.5999311
800,45,1,0.6281346
480,23,1,0.6834116
800,15,1,0.6963873
640,23,1,0.6410038
320,15,1,0.5579225
320,33,1,0.3071966
640,45,1,0.4864498
320,15,0,0.3756491
480,33,1,0.4467037
640,33,1,0.6829767
480,45,1,0.3485137
800,15,1,1.143393
320,15,1,0.5004182
640,45,1,0.4596014
800,23,1,0.822028
800,15,1,0.9197252
480,33,1,0.4460665
320,15,1,0.4590896
800,23,1,0.6532378
800,33,1,0.5990984
640,45,1,0.404968
320,23,1,0.3344307
800,45,1,0.5422895
320,33,1,0.2641383
480,45,1,0.2789901
480,45,1,0.2782614
640,23,1,0.5157471
640,23,1,0.4316698
640,33,0,0.5019423
480,33,1,0.3493909
320,15,1,0.5157593
640,45,1,0.4575675
800,23,1,0.9330603
640,45,1,0.4606631
640,33,1,0.4602733
800,33,1,0.6404912
480,45,1,0.3327399
320,15,1,0.3462003
320,33,1,0.2790471
320,23,1,0.3478919
800,33,1,0.5013967
640,23,1,0.458952
480,15,1,0.4887801
480,15,1,0.6692628
480,23,0,0.0845091
320,45,1,0.2089756
800,23,1,1.058576
640,33,1,0.4597702
480,23,0,0.0412517
800,15,1,1.212023
800,33,1,0.3759581
480,23,1,0.3905268
320,45,1,0.1954057
320,15,1,0.4436833
480,23,0,0.498766
800,15,1,0.9761704
640,23,1,0.5992519
320,45,1,0.2659321
480,23,1,0.6394469
640,33,1,0.8079089
640,45,1,0.6280945
800,33,1,0.920271
320,45,1,0.5008889
320,45,1,0.4176413
320,33,1,0.4585582
800,15,1,1.393414
640,23,1,1.071946
480,33,1,0.5992752
480,23,0,0.0420563
800,45,0,0.6414387
640,33,1,0.9475919
480,23,0,0.2505214
640,45,1,1.045446
640,33,1,0.7631373
800,45,1,0.5990677
480,23,1,0.4599526
800,45,0,0.5011957
320,23,1,0.3758277
320,23,1,0.4178792
320,23,1,0.4185052
640,33,1,0.6000648
480,45,1,0.4045605
800,45,1,0.5980611
640,23,1,0.5983972
320,15,1,0.4042299
320,33,1,0.2921298
800,33,1,0.6386757
640,45,1,0.4473574
480,33,1,0.4179654
480,15,1,0.5988509
800,45,1,0.5016054
640,23,1,0.5991262
800,15,1,1.08513
320,23,1,0.3896979
480,15,1,0.6676705
640,15,1,1.100095
320,45,1,0.3199099
320,15,0,0.1401945
480,33,1,1.518146
800,45,1,0.6821908
480,33,1,0.4600101
320,23,1,0.3892611
480,33,1,0.4464574
320,15,1,0.4178738
640,33,0,0.7155621
800,15,1,1.101302
480,23,0,0.4329198
800,45,0,0.0127471
800,33,1,3.216372
640,45,1,0.418527
640,23,1,0.8082175
